Country,Year,GDP_Growth,Inflation,Unemployment,R&D_Spending
USA,2010,3.25,1.86,7.3,3.45
USA,2011,2.15,1.77,9.16,3.21
USA,2012,1.8,2.54,5.07,3.0
USA,2013,2.86,0.09,2.55,3.16
USA,2014,0.98,2.31,4.18,2.8
USA,2015,4.7,1.77,6.14,2.96
USA,2016,1.68,2.11,3.7,3.21
USA,2017,1.6,1.71,4.8,3.49
USA,2018,2.48,0.94,7.65,2.88
USA,2019,2.81,0.04,3.34,3.3
USA,2020,3.61,2.17,5.77,3.12
USA,2021,0.28,1.28,5.08,3.27
USA,2022,3.02,0.24,6.65,3.12
USA,2023,1.48,2.61,8.06,3.21
Germany,2010,1.24,1.69,6.66,3.03
Germany,2011,1.78,1.81,3.79,2.67
Germany,2012,3.72,3.36,5.86,3.12
Germany,2013,3.04,1.35,6.72,3.24
Germany,2014,2.45,3.56,0.76,3.12
Germany,2015,2.63,1.7,6.18,2.51
Germany,2016,2.17,2.36,8.96,2.71
Germany,2017,1.29,1.5,7.83,2.88
Germany,2018,1.71,2.51,6.19,3.03
Germany,2019,1.45,1.67,5.22,2.58
Germany,2020,2.94,2.26,6.01,2.87
Germany,2021,0.38,1.58,5.31,2.66
Germany,2022,2.26,2.4,9.77,2.83
Germany,2023,2.89,1.93,2.16,2.99
Japan,2010,2.59,4.46,5.62,1.18
Japan,2011,2.45,0.83,8.29,1.32
Japan,2012,3.69,1.09,8.81,0.93
Japan,2013,3.38,4.19,4.02,1.09
Japan,2014,2.65,1.5,2.9,1.28
Japan,2015,0.91,2.47,4.16,1.44
Japan,2016,1.33,1.68,7.63,0.86
Japan,2017,2.84,3.31,2.79,1.26
Japan,2018,2.89,2.78,3.53,0.96
Japan,2019,3.28,2.3,6.5,1.27
Japan,2020,1.48,2.23,6.59,0.97
Japan,2021,5.3,2.47,3.62,1.49
Japan,2022,1.04,2.79,8.32,0.88
Japan,2023,3.95,2.41,7.64,1.59
France,2010,2.13,1.25,4.22,2.2
France,2011,2.38,2.34,6.55,2.47
France,2012,2.52,3.45,5.47,2.84
France,2013,3.44,1.14,3.86,2.54
France,2014,2.16,2.71,6.95,2.26
France,2015,1.23,0.49,5.11,2.5
France,2016,2.82,0.75,6.35,2.45
France,2017,1.17,2.15,6.12,2.03
France,2018,3.04,2.56,8.17,2.51
France,2019,0.43,1.06,7.03,2.34
France,2020,3.27,5.85,7.14,2.46
France,2021,3.93,2.65,5.37,2.54
France,2022,1.34,1.76,5.03,2.31
France,2023,5.97,0.13,7.37,2.21
UK,2010,1.79,3.09,6.13,1.33
UK,2011,1.43,2.68,4.54,1.61
UK,2012,2.57,1.35,10.29,1.68
UK,2013,-0.54,2.19,4.68,1.65
UK,2014,1.31,1.89,7.01,1.71
UK,2015,0.7,1.67,5.05,1.42
UK,2016,5.15,2.4,3.48,1.97
UK,2017,5.68,3.03,2.96,1.7
UK,2018,4.4,1.29,6.89,1.87
UK,2019,1.11,1.94,-0.48,1.47
UK,2020,2.12,0.75,9.26,1.28
UK,2021,1.84,2.13,8.88,1.23
UK,2022,4.24,2.01,4.04,1.83
UK,2023,2.8,1.4,6.14,1.57
Canada,2010,2.67,2.66,9.17,0.86
Canada,2011,5.7,0.05,5.7,1.53
Canada,2012,2.92,1.38,5.58,1.14
Canada,2013,1.62,2.85,6.71,0.96
Canada,2014,3.85,2.31,7.63,1.34
Canada,2015,1.26,1.44,7.49,1.23
Canada,2016,2.47,2.12,8.56,1.01
Canada,2017,3.32,1.8,5.56,1.46
Canada,2018,3.74,2.81,8.61,1.18
Canada,2019,3.52,1.69,6.65,1.21
Canada,2020,2.65,2.6,4.36,1.63
Canada,2021,0.99,0.79,8.32,1.26
Canada,2022,3.44,2.63,5.98,1.04
Canada,2023,2.61,1.32,7.95,1.14
China,2010,1.26,1.68,6.83,2.16
China,2011,1.27,2.24,6.49,2.16
China,2012,1.79,2.23,3.1,2.07
China,2013,1.42,1.79,6.62,2.57
China,2014,3.79,1.84,5.96,2.21
China,2015,2.47,1.71,6.65,2.17
China,2016,3.28,3.53,5.78,2.42
China,2017,3.54,1.6,6.45,2.4
China,2018,2.65,1.23,6.05,2.47
China,2019,4.68,2.96,10.31,2.18
China,2020,3.81,2.18,10.38,2.15
China,2021,1.24,1.4,1.75,2.27
China,2022,1.36,2.15,6.68,2.64
China,2023,3.93,1.42,4.2,2.56
India,2010,0.52,3.83,8.36,0.92
India,2011,-0.07,3.35,5.77,1.29
India,2012,0.11,1.4,6.01,1.12
India,2013,1.82,2.62,3.86,1.17
India,2014,2.68,2.51,7.42,0.95
India,2015,0.2,3.28,6.66,0.89
India,2016,4.83,2.12,8.36,1.29
India,2017,5.59,3.76,5.5,1.52
India,2018,3.47,3.37,4.07,1.39
India,2019,4.09,0.24,3.63,0.98
India,2020,2.1,2.72,9.0,1.12
India,2021,4.94,0.62,2.59,1.43
India,2022,3.08,1.97,1.87,1.31
India,2023,0.54,2.67,6.73,0.89
Brazil,2010,1.73,0.94,5.87,2.21
Brazil,2011,1.02,2.5,4.94,1.79
Brazil,2012,2.34,0.96,4.89,1.83
Brazil,2013,5.45,2.04,4.6,2.24
Brazil,2014,2.33,1.78,7.23,2.15
Brazil,2015,1.7,1.42,5.45,1.55
Brazil,2016,0.23,3.37,9.29,1.75
Brazil,2017,3.36,2.31,12.16,2.16
Brazil,2018,2.31,1.04,2.79,2.15
Brazil,2019,1.37,0.58,4.71,1.82
Brazil,2020,5.03,2.88,5.98,2.42
Brazil,2021,2.62,1.14,9.05,2.1
Brazil,2022,0.94,1.81,4.25,1.71
Brazil,2023,3.89,3.91,3.2,2.2
South Korea,2010,1.52,1.51,4.82,2.94
South Korea,2011,2.57,1.17,6.54,3.13
South Korea,2012,2.14,1.09,4.85,3.31
South Korea,2013,3.25,1.02,6.2,3.34
South Korea,2014,-0.0,2.54,4.67,3.13
South Korea,2015,1.36,0.2,2.74,3.2
South Korea,2016,2.89,1.1,7.28,2.81
South Korea,2017,2.4,0.79,4.7,3.19
South Korea,2018,1.21,1.62,8.01,2.92
South Korea,2019,3.75,0.87,7.06,3.49
South Korea,2020,-1.21,1.2,7.15,2.9
South Korea,2021,3.06,1.4,6.17,3.14
South Korea,2022,4.25,2.25,6.68,3.11
South Korea,2023,1.77,1.57,6.79,3.0
